0 qid:15 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:15 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:15 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:15 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:15 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:15 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.039112 2338:0.155387 2176:0.000000 1050:0.000000 146:0.600629 96:0.368719
1 qid:16 2512:1.000000 2338:1.000000 2176:1.000000 1050:1.000000 146:1.000000 96:1.000000
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.012463 2338:0.286669 2176:0.275277 1050:0.059038 146:0.481961 96:0.277868
0 qid:16 2512:0.005036 2338:0.000000 2176:0.468588 1050:0.061526 146:0.000000 96:0.000000
0 qid:16 2512:0.000000 2338:0.590606 2176:0.777657 1050:0.062712 146:0.689939 96:0.435255
0 qid:16 2512:0.006153 2338:0.285275 2176:0.468500 1050:0.061489 146:0.395031 96:0.219362
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:16 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.039112 2338:0.155387 2176:0.000000 1050:0.000000 146:0.600629 96:0.368719
1 qid:17 2512:1.000000 2338:1.000000 2176:1.000000 1050:1.000000 146:1.000000 96:1.000000
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.012463 2338:0.286669 2176:0.275277 1050:0.059038 146:0.481961 96:0.277868
0 qid:17 2512:0.005036 2338:0.000000 2176:0.468588 1050:0.061526 146:0.000000 96:0.000000
0 qid:17 2512:0.000000 2338:0.590606 2176:0.777657 1050:0.062712 146:0.689939 96:0.435255
0 qid:17 2512:0.006153 2338:0.285275 2176:0.468500 1050:0.061489 146:0.395031 96:0.219362
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:17 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.039112 2338:0.155387 2176:0.000000 1050:0.000000 146:0.600629 96:0.368719
1 qid:18 2512:1.000000 2338:1.000000 2176:1.000000 1050:1.000000 146:1.000000 96:1.000000
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.012463 2338:0.286669 2176:0.275277 1050:0.059038 146:0.481961 96:0.277868
0 qid:18 2512:0.005036 2338:0.000000 2176:0.468588 1050:0.061526 146:0.000000 96:0.000000
0 qid:18 2512:0.000000 2338:0.590606 2176:0.777657 1050:0.062712 146:0.689939 96:0.435255
0 qid:18 2512:0.006153 2338:0.285275 2176:0.468500 1050:0.061489 146:0.395031 96:0.219362
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:18 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.039112 2338:0.155387 2176:0.000000 1050:0.000000 146:0.600629 96:0.368719
1 qid:19 2512:1.000000 2338:1.000000 2176:1.000000 1050:1.000000 146:1.000000 96:1.000000
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.012463 2338:0.286669 2176:0.275277 1050:0.059038 146:0.481961 96:0.277868
0 qid:19 2512:0.005036 2338:0.000000 2176:0.468588 1050:0.061526 146:0.000000 96:0.000000
0 qid:19 2512:0.000000 2338:0.590606 2176:0.777657 1050:0.062712 146:0.689939 96:0.435255
0 qid:19 2512:0.006153 2338:0.285275 2176:0.468500 1050:0.061489 146:0.395031 96:0.219362
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:19 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:20 2512:0.039112 2338:0.155387 2176:0.000000 1050:0.000000 146:0.600629 96:0.368719
1 qid:20 2512:1.000000 2338:1.000000 2176:1.000000 1050:1.000000 146:1.000000 96:1.000000
0 qid:20 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:20 2512:0.423699 2338:0.972501 2176:0.998817 1050:0.786038 146:0.999999 96:0.999896
0 qid:20 2512:0.012463 2338:0.286669 2176:0.275277 1050:0.059038 146:0.481961 96:0.277868
0 qid:20 2512:0.005036 2338:0.000000 2176:0.468588 1050:0.061526 146:0.000000 96:0.000000
0 qid:20 2512:0.000000 2338:0.590606 2176:0.777657 1050:0.062712 146:0.689939 96:0.435255
0 qid:20 2512:0.006153 2338:0.285275 2176:0.468500 1050:0.061489 146:0.395031 96:0.219362
0 qid:20 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:20 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:20 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:20 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:20 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:20 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:20 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:20 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:20 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:20 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.039112 2338:0.155387 2176:0.000000 1050:0.000000 146:0.600629 96:0.368719
1 qid:21 2512:1.000000 2338:1.000000 2176:1.000000 1050:1.000000 146:1.000000 96:1.000000
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.012463 2338:0.286669 2176:0.275277 1050:0.059038 146:0.481961 96:0.277868
0 qid:21 2512:0.005036 2338:0.000000 2176:0.468588 1050:0.061526 146:0.000000 96:0.000000
0 qid:21 2512:0.000000 2338:0.590606 2176:0.777657 1050:0.062712 146:0.689939 96:0.435255
0 qid:21 2512:0.006153 2338:0.285275 2176:0.468500 1050:0.061489 146:0.395031 96:0.219362
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:21 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.039112 2338:0.155387 2176:0.000000 1050:0.000000 146:0.600629 96:0.368719
1 qid:22 2512:1.000000 2338:1.000000 2176:1.000000 1050:1.000000 146:1.000000 96:1.000000
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.012463 2338:0.286669 2176:0.275277 1050:0.059038 146:0.481961 96:0.277868
0 qid:22 2512:0.005036 2338:0.000000 2176:0.468588 1050:0.061526 146:0.000000 96:0.000000
0 qid:22 2512:0.000000 2338:0.590606 2176:0.777657 1050:0.062712 146:0.689939 96:0.435255
0 qid:22 2512:0.006153 2338:0.285275 2176:0.468500 1050:0.061489 146:0.395031 96:0.219362
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:22 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:23 2512:0.066941 2338:0.203771 2176:0.984266 1050:0.021843 146:0.423646 96:0.240952
1 qid:23 2512:0.992059 2338:1.000000 2176:1.000000 1050:1.000000 146:0.999995 96:0.999167
0 qid:23 2512:1.000000 2338:0.925236 2176:0.999753 1050:0.206588 146:1.000000 96:1.000000
0 qid:23 2512:0.414681 2338:0.876326 2176:0.997946 1050:0.059794 146:0.999950 96:0.998732
0 qid:23 2512:0.029517 2338:0.308390 2176:0.990278 1050:0.031831 146:0.507302 96:0.297571
0 qid:23 2512:0.000000 2338:0.000000 2176:0.000000 1050:0.071618 146:0.000000 96:0.000000
0 qid:23 2512:0.000000 2338:0.549250 2176:0.521882 1050:0.026781 146:0.772208 96:0.518267
0 qid:23 2512:0.000000 2338:0.255869 2176:0.221232 1050:0.049806 146:0.394078 96:0.221150
0 qid:23 2512:0.414681 2338:0.885972 2176:0.998818 1050:0.000000 146:0.999950 96:0.993086
0 qid:23 2512:0.414681 2338:0.885972 2176:0.998818 1050:0.000000 146:0.999950 96:0.993086
0 qid:23 2512:0.414681 2338:0.885972 2176:0.998818 1050:0.000000 146:0.999950 96:0.993086
0 qid:23 2512:0.414681 2338:0.885972 2176:0.998818 1050:0.000000 146:0.999950 96:0.993086
0 qid:23 2512:0.414681 2338:0.885972 2176:0.998818 1050:0.000000 146:0.999950 96:0.993086
0 qid:23 2512:0.414681 2338:0.885972 2176:0.998818 1050:0.000000 146:0.999950 96:0.993086
0 qid:23 2512:0.414681 2338:0.885972 2176:0.998818 1050:0.000000 146:0.999950 96:0.993086
0 qid:23 2512:0.414681 2338:0.885972 2176:0.998818 1050:0.000000 146:0.999950 96:0.993086
0 qid:23 2512:0.414681 2338:0.885972 2176:0.998818 1050:0.000000 146:0.999950 96:0.993086
0 qid:23 2512:0.414681 2338:0.885972 2176:0.998818 1050:0.000000 146:0.999950 96:0.993086
0 qid:24 2512:0.039112 2338:0.155387 2176:0.000000 1050:0.000000 146:0.600629 96:0.368719
1 qid:24 2512:1.000000 2338:1.000000 2176:1.000000 1050:1.000000 146:1.000000 96:1.000000
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:24 2512:0.012463 2338:0.286669 2176:0.275277 1050:0.059038 146:0.481961 96:0.277868
0 qid:24 2512:0.005036 2338:0.000000 2176:0.468588 1050:0.061526 146:0.000000 96:0.000000
0 qid:24 2512:0.000000 2338:0.590606 2176:0.777657 1050:0.062712 146:0.689939 96:0.435255
0 qid:24 2512:0.006153 2338:0.285275 2176:0.468500 1050:0.061489 146:0.395031 96:0.219362
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:24 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:25 2512:0.030688 2338:0.000000 2176:0.029007 1050:0.038971 146:0.092136 96:0.048193
0 qid:25 2512:0.943178 2338:1.000000 2176:0.999950 1050:1.000000 146:1.000000 96:0.999632
0 qid:25 2512:0.042742 2338:0.378066 2176:0.000000 1050:0.000000 146:0.596674 96:0.364153
0 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:25 2512:0.016869 2338:0.040829 2176:0.180441 1050:0.062009 146:0.000000 96:0.000000
0 qid:25 2512:1.000000 2338:0.980042 2176:0.990481 1050:0.736903 146:0.999992 96:1.000000
1 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:25 2512:0.000000 2338:0.407810 2176:0.704459 1050:0.071089 146:0.400626 96:0.220763
0 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:25 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.030688 2338:0.000000 2176:0.029007 1050:0.038971 146:0.092136 96:0.048193
0 qid:26 2512:0.943178 2338:1.000000 2176:0.999950 1050:1.000000 146:1.000000 96:0.999632
0 qid:26 2512:0.042742 2338:0.378066 2176:0.000000 1050:0.000000 146:0.596674 96:0.364153
0 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.016869 2338:0.040829 2176:0.180441 1050:0.062009 146:0.000000 96:0.000000
0 qid:26 2512:1.000000 2338:0.980042 2176:0.990481 1050:0.736903 146:0.999992 96:1.000000
1 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.000000 2338:0.407810 2176:0.704459 1050:0.071089 146:0.400626 96:0.220763
0 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:26 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.030688 2338:0.000000 2176:0.029007 1050:0.038971 146:0.092136 96:0.048193
0 qid:27 2512:0.943178 2338:1.000000 2176:0.999950 1050:1.000000 146:1.000000 96:0.999632
0 qid:27 2512:0.042742 2338:0.378066 2176:0.000000 1050:0.000000 146:0.596674 96:0.364153
0 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.016869 2338:0.040829 2176:0.180441 1050:0.062009 146:0.000000 96:0.000000
0 qid:27 2512:1.000000 2338:0.980042 2176:0.990481 1050:0.736903 146:0.999992 96:1.000000
1 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.000000 2338:0.407810 2176:0.704459 1050:0.071089 146:0.400626 96:0.220763
0 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:27 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.030688 2338:0.000000 2176:0.029007 1050:0.038971 146:0.092136 96:0.048193
0 qid:28 2512:0.943178 2338:1.000000 2176:0.999950 1050:1.000000 146:1.000000 96:0.999632
0 qid:28 2512:0.042742 2338:0.378066 2176:0.000000 1050:0.000000 146:0.596674 96:0.364153
0 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.016869 2338:0.040829 2176:0.180441 1050:0.062009 146:0.000000 96:0.000000
0 qid:28 2512:1.000000 2338:0.980042 2176:0.990481 1050:0.736903 146:0.999992 96:1.000000
1 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.000000 2338:0.407810 2176:0.704459 1050:0.071089 146:0.400626 96:0.220763
0 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:28 2512:0.450486 2338:0.983147 2176:1.000000 1050:0.071176 146:0.999997 96:0.987905
0 qid:29 2512:0.039112 2338:0.155387 2176:0.000000 1050:0.000000 146:0.600629 96:0.368719
1 qid:29 2512:1.000000 2338:1.000000 2176:1.000000 1050:1.000000 146:1.000000 96:1.000000
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:29 2512:0.012463 2338:0.286669 2176:0.275277 1050:0.059038 146:0.481961 96:0.277868
0 qid:29 2512:0.005036 2338:0.000000 2176:0.468588 1050:0.061526 146:0.000000 96:0.000000
0 qid:29 2512:0.000000 2338:0.590606 2176:0.777657 1050:0.062712 146:0.689939 96:0.435255
0 qid:29 2512:0.006153 2338:0.285275 2176:0.468500 1050:0.061489 146:0.395031 96:0.219362
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:29 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:30 2512:0.039112 2338:0.155387 2176:0.000000 1050:0.000000 146:0.600629 96:0.368719
1 qid:30 2512:1.000000 2338:1.000000 2176:1.000000 1050:1.000000 146:1.000000 96:1.000000
0 qid:30 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:30 2512:0.423699 2338:0.998240 2176:0.999152 1050:0.062834 146:0.999999 96:0.983706
0 qid:30 2512:0.012463 2338:0.286669 2176:0.275277 1050:0.059038 146:0.481961 96:0.277868
0 qid:30 2512:0.005036 2338:0.000000 2176:0.468588 1050:0.061526 146:0.000000 96:0.000000
